scenario_id,trial_id,trial_index,peg_diameter_mm,hole_diameter_mm,radial_clearance_mm,initial_xy_offset_mm,scenario_tier,success,trial_outcome,search_entered,search_converged,contact_guided_insertion,insertion_depth_m,max_contact_force_n,final_xy_error_m,predepth_recenter_attempts,sideload_recovery_attempts,entry_descent_count,capture_descent_count,failure_phase,failure_reason,timeout,safety_abort,envelope_zone,feasibility_label,clearance_to_noise_ratio,duration_s
baseline_loose,trial_000,0,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.0202,52.67,0.0007,5,2,6,7,,,False,False,robust,in_envelope,2.0,24.64
baseline_loose,trial_001,1,25.0,27.0,1.0,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0206,49.15,0.0013,2,2,6,3,INSERT,INSERT aborted: XY error 0.4097m exceeded force-safe limit 0.0150m at physical depth 0.0000m.,False,True,robust,in_envelope,2.0,138.92
baseline_loose,trial_002,2,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.0204,56.08,0.0003,1,0,2,1,,,False,False,robust,in_envelope,2.0,86.0
baseline_loose,trial_003,3,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.0205,48.61,0.0001,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.68
baseline_loose,trial_004,4,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.0196,62.39,0.0005,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.68
baseline_loose,trial_005,5,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.0207,54.11,0.0005,0,0,1,1,,,False,False,robust,in_envelope,2.0,19.4
baseline_loose,trial_006,6,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.02,49.36,0.0008,2,0,1,3,,,False,False,robust,in_envelope,2.0,24.72
baseline_loose,trial_007,7,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.0201,55.38,0.0003,3,0,2,3,,,False,False,robust,in_envelope,2.0,11.64
baseline_loose,trial_008,8,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.0208,39.91,0.0007,0,0,1,1,,,False,False,robust,in_envelope,2.0,22.16
baseline_loose,trial_009,9,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.0205,48.87,0.0003,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.68
baseline_loose,trial_010,10,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.02,55.47,0.0005,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.68
baseline_loose,trial_011,11,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.0205,58.64,0.0004,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.6
baseline_loose,trial_012,12,25.0,27.0,1.0,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0059,47.24,0.0014,3,2,4,5,INSERT,sideload_abort,False,True,robust,in_envelope,2.0,105.52
baseline_loose,trial_013,13,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.0203,62.09,0.0003,1,0,1,2,,,False,False,robust,in_envelope,2.0,24.6
baseline_loose,trial_014,14,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.02,46.88,0.0004,1,0,2,1,,,False,False,robust,in_envelope,2.0,24.6
baseline_loose,trial_015,15,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.0201,53.3,0.0003,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.64
baseline_loose,trial_016,16,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.0197,51.68,0.0005,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.6
baseline_loose,trial_017,17,25.0,27.0,1.0,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0036,54.37,0.0014,2,2,3,5,INSERT,sideload_abort,False,True,robust,in_envelope,2.0,95.08
baseline_loose,trial_018,18,25.0,27.0,1.0,0.0,clearance_sweep,True,SUCCESS,True,True,False,0.02,50.51,0.0006,1,0,2,1,,,False,False,robust,in_envelope,2.0,24.6
baseline_loose,trial_019,19,25.0,27.0,1.0,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0113,51.77,0.001,2,2,4,6,INSERT,sideload_abort,False,True,robust,in_envelope,2.0,132.44
clearance_medium,trial_000,0,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,53.95,0.0005,3,0,4,0,INSERT,xy_exceeded,False,True,marginal,marginal,1.0,24.84
clearance_medium,trial_001,1,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,40.5,0.0005,0,0,0,0,INSERT,handoff_settle_timeout,False,True,marginal,marginal,1.0,12.04
clearance_medium,trial_002,2,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,47.27,0.0009,0,0,0,0,INSERT,handoff_settle_timeout,False,True,marginal,marginal,1.0,12.04
clearance_medium,trial_003,3,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,65.58,0.001,3,0,4,0,INSERT,xy_exceeded,False,True,marginal,marginal,1.0,24.76
clearance_medium,trial_004,4,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,46.1,0.0005,3,0,4,0,INSERT,xy_exceeded,False,True,marginal,marginal,1.0,36.96
clearance_medium,trial_005,5,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,marginal,marginal,1.0,0.16
clearance_medium,trial_006,6,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,marginal,marginal,1.0,0.16
clearance_medium,trial_007,7,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,49.38,0.0002,0,0,0,0,INSERT,handoff_settle_timeout,False,True,marginal,marginal,1.0,12.04
clearance_medium,trial_008,8,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,43.94,0.0007,3,0,4,0,INSERT,xy_exceeded,False,True,marginal,marginal,1.0,17.68
clearance_medium,trial_009,9,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,47.63,0.0007,3,0,4,0,INSERT,xy_exceeded,False,True,marginal,marginal,1.0,23.36
clearance_medium,trial_010,10,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,51.12,0.0005,3,0,4,0,INSERT,xy_exceeded,False,True,marginal,marginal,1.0,19.68
clearance_medium,trial_011,11,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,marginal,marginal,1.0,0.16
clearance_medium,trial_012,12,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,marginal,marginal,1.0,0.16
clearance_medium,trial_013,13,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,51.76,0.0002,0,0,0,0,INSERT,handoff_settle_timeout,False,True,marginal,marginal,1.0,12.04
clearance_medium,trial_014,14,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,marginal,marginal,1.0,0.16
clearance_medium,trial_015,15,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,marginal,marginal,1.0,0.16
clearance_medium,trial_016,16,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,49.89,0.0006,3,0,4,0,INSERT,xy_exceeded,False,True,marginal,marginal,1.0,23.28
clearance_medium,trial_017,17,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,50.53,0.0003,2,0,2,0,INSERT,handoff_settle_timeout,False,True,marginal,marginal,1.0,24.84
clearance_medium,trial_018,18,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,44.05,0.0004,1,0,1,0,INSERT,handoff_settle_timeout,False,True,marginal,marginal,1.0,22.56
clearance_medium,trial_019,19,25.0,26.0,0.5,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,marginal,marginal,1.0,0.28
clearance_tight,trial_000,0,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,40.89,0.0005,0,0,0,0,INSERT,handoff_settle_timeout,False,True,out_of_envelope,out_of_envelope,0.5,12.08
clearance_tight,trial_001,1,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,out_of_envelope,out_of_envelope,0.5,0.16
clearance_tight,trial_002,2,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,out_of_envelope,out_of_envelope,0.5,0.2
clearance_tight,trial_003,3,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,out_of_envelope,out_of_envelope,0.5,0.16
clearance_tight,trial_004,4,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,out_of_envelope,out_of_envelope,0.5,0.16
clearance_tight,trial_005,5,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,out_of_envelope,out_of_envelope,0.5,0.16
clearance_tight,trial_006,6,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,out_of_envelope,out_of_envelope,0.5,0.16
clearance_tight,trial_007,7,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,52.53,0.0,0,0,0,0,INSERT,handoff_settle_timeout,False,True,out_of_envelope,out_of_envelope,0.5,12.08
clearance_tight,trial_008,8,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,55.25,0.0004,0,0,0,0,INSERT,handoff_settle_timeout,False,True,out_of_envelope,out_of_envelope,0.5,12.08
clearance_tight,trial_009,9,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,out_of_envelope,out_of_envelope,0.5,0.16
clearance_tight,trial_010,10,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,out_of_envelope,out_of_envelope,0.5,0.28
clearance_tight,trial_011,11,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,out_of_envelope,out_of_envelope,0.5,0.16
clearance_tight,trial_012,12,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,49.85,0.0001,0,0,0,0,INSERT,handoff_settle_timeout,False,True,out_of_envelope,out_of_envelope,0.5,12.04
clearance_tight,trial_013,13,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,out_of_envelope,out_of_envelope,0.5,0.36
clearance_tight,trial_014,14,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,out_of_envelope,out_of_envelope,0.5,0.16
clearance_tight,trial_015,15,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,out_of_envelope,out_of_envelope,0.5,0.32
clearance_tight,trial_016,16,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,62.19,0.0003,0,0,0,0,INSERT,handoff_settle_timeout,False,True,out_of_envelope,out_of_envelope,0.5,12.04
clearance_tight,trial_017,17,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,56.14,0.0005,0,0,0,0,INSERT,handoff_settle_timeout,False,True,out_of_envelope,out_of_envelope,0.5,12.04
clearance_tight,trial_018,18,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,out_of_envelope,out_of_envelope,0.5,0.16
clearance_tight,trial_019,19,25.0,25.5,0.25,0.0,clearance_sweep,False,ABORTED,True,True,False,0.0,0.0,0.0,0,0,0,0,,xy_exceeded,False,True,out_of_envelope,out_of_envelope,0.5,0.16
large_peg_large_hole,trial_000,0,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0202,47.98,0.0007,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.64
large_peg_large_hole,trial_001,1,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0202,44.12,0.0001,0,1,2,2,,,False,False,robust,in_envelope,2.0,24.6
large_peg_large_hole,trial_002,2,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0205,55.19,0.0004,1,0,1,2,,,False,False,robust,in_envelope,2.0,24.64
large_peg_large_hole,trial_003,3,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0196,46.66,0.0006,2,1,5,3,,,False,False,robust,in_envelope,2.0,24.64
large_peg_large_hole,trial_004,4,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0202,52.01,0.0002,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.64
large_peg_large_hole,trial_005,5,28.0,30.0,1.0,0.0,size_variation,False,ABORTED,True,True,False,0.0028,53.7,0.0005,3,0,1,3,INSERT,handoff_settle_timeout,False,True,robust,in_envelope,2.0,35.36
large_peg_large_hole,trial_006,6,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0202,56.36,0.001,2,0,1,3,,,False,False,robust,in_envelope,2.0,24.64
large_peg_large_hole,trial_007,7,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.02,51.99,0.0005,2,1,2,4,,,False,False,robust,in_envelope,2.0,24.6
large_peg_large_hole,trial_008,8,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.021,56.91,0.0008,1,1,3,2,,,False,False,robust,in_envelope,2.0,24.64
large_peg_large_hole,trial_009,9,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0204,49.99,0.0002,1,2,4,3,,,False,False,robust,in_envelope,2.0,24.6
large_peg_large_hole,trial_010,10,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0197,45.05,0.0004,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.6
large_peg_large_hole,trial_011,11,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0203,48.76,0.0002,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.6
large_peg_large_hole,trial_012,12,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0205,49.56,0.0007,1,0,2,1,,,False,False,robust,in_envelope,2.0,24.64
large_peg_large_hole,trial_013,13,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0201,49.3,0.0003,1,0,1,2,,,False,False,robust,in_envelope,2.0,24.64
large_peg_large_hole,trial_014,14,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0207,50.92,0.0009,1,0,1,2,,,False,False,robust,in_envelope,2.0,24.6
large_peg_large_hole,trial_015,15,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0207,52.94,0.0003,1,0,1,2,,,False,False,robust,in_envelope,2.0,24.64
large_peg_large_hole,trial_016,16,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0199,45.72,0.0006,1,0,1,2,,,False,False,robust,in_envelope,2.0,24.6
large_peg_large_hole,trial_017,17,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.02,51.42,0.0005,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.64
large_peg_large_hole,trial_018,18,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0199,48.79,0.0003,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.64
large_peg_large_hole,trial_019,19,28.0,30.0,1.0,0.0,size_variation,True,SUCCESS,True,True,False,0.0203,49.81,0.0006,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.6
misaligned_baseline,trial_000,0,25.0,27.0,1.0,1.0,combined_difficulty,True,SUCCESS,True,True,False,0.0203,53.98,0.0006,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.64
misaligned_baseline,trial_001,1,25.0,27.0,1.0,1.0,combined_difficulty,True,SUCCESS,True,True,False,0.0196,53.38,0.0006,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.6
misaligned_baseline,trial_002,2,25.0,27.0,1.0,1.0,combined_difficulty,True,SUCCESS,True,True,False,0.0204,49.77,0.0006,1,0,1,2,,,False,False,robust,in_envelope,2.0,24.64
misaligned_baseline,trial_003,3,25.0,27.0,1.0,1.0,combined_difficulty,True,SUCCESS,True,True,False,0.0205,53.15,0.0005,4,2,6,6,,,False,False,robust,in_envelope,2.0,24.64
misaligned_baseline,trial_004,4,25.0,27.0,1.0,1.0,combined_difficulty,True,SUCCESS,True,True,False,0.0205,52.08,0.0006,0,1,2,2,,,False,False,robust,in_envelope,2.0,24.64
misaligned_baseline,trial_005,5,25.0,27.0,1.0,1.0,combined_difficulty,False,ABORTED,True,True,False,0.0057,47.95,0.0013,3,2,3,5,INSERT,xy_exceeded,False,True,robust,in_envelope,2.0,84.92
misaligned_baseline,trial_006,6,25.0,27.0,1.0,1.0,combined_difficulty,True,SUCCESS,True,True,False,0.0204,55.87,0.0008,0,1,2,2,,,False,False,robust,in_envelope,2.0,24.64
misaligned_baseline,trial_007,7,25.0,27.0,1.0,1.0,combined_difficulty,True,SUCCESS,True,True,False,0.0196,49.4,0.0007,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.6
misaligned_baseline,trial_008,8,25.0,27.0,1.0,1.0,combined_difficulty,True,SUCCESS,True,True,False,0.0199,52.13,0.0005,3,2,4,5,,,False,False,robust,in_envelope,2.0,24.64
misaligned_baseline,trial_009,9,25.0,27.0,1.0,1.0,combined_difficulty,True,SUCCESS,True,True,False,0.0204,48.38,0.0003,2,2,3,5,,,False,False,robust,in_envelope,2.0,24.6
misaligned_baseline,trial_010,10,25.0,27.0,1.0,1.0,combined_difficulty,False,ABORTED,True,True,False,0.02,52.52,0.0011,1,2,5,4,INSERT,sideload_abort,False,True,robust,in_envelope,2.0,151.8
misaligned_baseline,trial_011,11,25.0,27.0,1.0,1.0,combined_difficulty,True,SUCCESS,True,True,False,0.0203,45.0,0.0006,0,0,1,1,,,False,False,robust,in_envelope,2.0,24.64
misaligned_baseline,trial_012,12,25.0,27.0,1.0,1.0,combined_difficulty,False,ABORTED,True,True,False,0.0033,49.0,0.0016,4,1,5,3,INSERT,xy_exceeded,False,True,robust,in_envelope,2.0,60.44
misaligned_baseline,trial_013,13,25.0,27.0,1.0,1.0,combined_difficulty,True,SUCCESS,True,True,False,0.0199,54.77,0.0005,1,0,1,2,,,False,False,robust,in_envelope,2.0,24.64
misaligned_baseline,trial_014,14,25.0,27.0,1.0,1.0,combined_difficulty,True,SUCCESS,True,True,False,0.0203,51.76,0.0005,1,0,2,1,,,False,False,robust,in_envelope,2.0,24.6
