stamp_s,tick_index,ground_truth_phase,ground_truth_safety,predicted_phase_int,predicted_phase_name,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6
1780621770.841316,0,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621770.987263,1,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621771.073147,2,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621771.217309,3,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621771.330548,4,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621771.445315,5,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621771.539844,6,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621771.657357,7,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621771.743962,8,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621771.896811,9,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621771.966688,10,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621772.085602,11,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621772.175174,12,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621772.325837,13,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621772.397316,14,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621772.521310,15,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621772.619845,16,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621772.731915,17,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621772.835905,18,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621772.952931,19,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621773.052870,20,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621773.185844,21,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621773.281586,22,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796254,1.210116,0.000966,0.802444,0.000174
1780621773.420347,23,MOVE_TO_START,OK,2,APPROACH,-0.000148,-0.796279,1.210160,0.000967,0.802469,0.000174
1780621773.512476,24,MOVE_TO_START,OK,2,APPROACH,-0.000149,-0.796225,1.210125,0.000963,0.802418,0.000173
