elapsed_sec,frame_id,force_x_n,force_y_n,force_z_n,torque_x_nm,torque_y_nm,torque_z_nm,force_magnitude_n,torque_magnitude_nm
0.210,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.410,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.610,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.810,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.009,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.209,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.410,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.610,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.809,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.009,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.209,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.409,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.609,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.809,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.009,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.209,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.409,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.609,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.810,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.009,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.209,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.409,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.613,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.809,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.009,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.024,contact_frame,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42.548,contact_frame,0.000000,-0.000000,0.098100,0.000000,0.000000,0.000000,0.098100,0.000000
