elapsed_sec,contact_state,force_x_n,force_y_n,force_z_n,torque_x_nm,torque_y_nm,torque_z_nm,force_magnitude_n,torque_magnitude_nm
0.357,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.557,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.757,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.957,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.157,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.357,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.557,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.757,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.957,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.157,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.357,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.557,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.757,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.957,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.157,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.357,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.557,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.757,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.957,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.157,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.357,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.557,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.757,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.957,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.157,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30.424,contact_below_threshold,-0.000000,0.000000,0.098100,0.000000,0.000000,0.000000,0.098100,0.000000
