elapsed_sec,contact_state,force_magnitude_n,torque_magnitude_nm,command_output_enabled,motion_execution_enabled
0.357,no_contact,0.000000,0.000000,false,false
0.557,no_contact,0.000000,0.000000,false,false
0.757,no_contact,0.000000,0.000000,false,false
0.957,no_contact,0.000000,0.000000,false,false
1.157,no_contact,0.000000,0.000000,false,false
1.357,no_contact,0.000000,0.000000,false,false
1.557,no_contact,0.000000,0.000000,false,false
1.757,no_contact,0.000000,0.000000,false,false
1.957,no_contact,0.000000,0.000000,false,false
2.157,no_contact,0.000000,0.000000,false,false
2.357,no_contact,0.000000,0.000000,false,false
2.557,no_contact,0.000000,0.000000,false,false
2.757,no_contact,0.000000,0.000000,false,false
2.957,no_contact,0.000000,0.000000,false,false
3.157,no_contact,0.000000,0.000000,false,false
3.357,no_contact,0.000000,0.000000,false,false
3.557,no_contact,0.000000,0.000000,false,false
3.757,no_contact,0.000000,0.000000,false,false
3.957,no_contact,0.000000,0.000000,false,false
4.157,no_contact,0.000000,0.000000,false,false
4.357,no_contact,0.000000,0.000000,false,false
4.557,no_contact,0.000000,0.000000,false,false
4.757,no_contact,0.000000,0.000000,false,false
4.957,no_contact,0.000000,0.000000,false,false
5.157,no_contact,0.000000,0.000000,false,false
30.424,contact_below_threshold,0.098100,0.000000,false,false
