elapsed_sec,frame_id,suggested_force_x_n,suggested_force_y_n,suggested_force_z_n,command_output_enabled
0.357,contact_frame,0.000000,0.000000,0.000000,false
0.557,contact_frame,0.000000,0.000000,0.000000,false
0.757,contact_frame,0.000000,0.000000,0.000000,false
0.957,contact_frame,0.000000,0.000000,0.000000,false
1.157,contact_frame,0.000000,0.000000,0.000000,false
1.357,contact_frame,0.000000,0.000000,0.000000,false
1.557,contact_frame,0.000000,0.000000,0.000000,false
1.757,contact_frame,0.000000,0.000000,0.000000,false
1.957,contact_frame,0.000000,0.000000,0.000000,false
2.157,contact_frame,0.000000,0.000000,0.000000,false
2.357,contact_frame,0.000000,0.000000,0.000000,false
2.557,contact_frame,0.000000,0.000000,0.000000,false
2.757,contact_frame,0.000000,0.000000,0.000000,false
2.957,contact_frame,0.000000,0.000000,0.000000,false
3.157,contact_frame,0.000000,0.000000,0.000000,false
3.357,contact_frame,0.000000,0.000000,0.000000,false
3.557,contact_frame,0.000000,0.000000,0.000000,false
3.757,contact_frame,0.000000,0.000000,0.000000,false
3.957,contact_frame,0.000000,0.000000,0.000000,false
4.157,contact_frame,0.000000,0.000000,0.000000,false
4.357,contact_frame,0.000000,0.000000,0.000000,false
4.557,contact_frame,0.000000,0.000000,0.000000,false
4.757,contact_frame,0.000000,0.000000,0.000000,false
4.957,contact_frame,0.000000,0.000000,0.000000,false
5.157,contact_frame,0.000000,0.000000,0.000000,false
30.424,contact_frame,0.000000,0.000000,-0.098100,false
