elapsed_sec,sensor_gate_passed,contact_gate_passed,safety_gate_passed,virtual_force_gate_passed,admittance_gate_passed,execution_disabled_gate_passed,proposal_readiness_gate_passed,status
0.627,false,true,true,true,true,true,false,readiness_gate_pending
0.827,false,true,true,true,true,true,false,readiness_gate_pending
1.028,false,true,true,true,true,true,false,readiness_gate_pending
1.227,false,true,true,true,true,true,false,readiness_gate_pending
1.427,false,true,true,true,true,true,false,readiness_gate_pending
1.627,false,true,true,true,true,true,false,readiness_gate_pending
1.827,false,true,true,true,true,true,false,readiness_gate_pending
2.028,false,true,true,true,true,true,false,readiness_gate_pending
2.228,false,true,true,true,true,true,false,readiness_gate_pending
2.427,false,true,true,true,true,true,false,readiness_gate_pending
2.627,false,true,true,true,true,true,false,readiness_gate_pending
2.827,false,true,true,true,true,true,false,readiness_gate_pending
3.028,false,true,true,true,true,true,false,readiness_gate_pending
3.227,false,true,true,true,true,true,false,readiness_gate_pending
3.428,false,true,true,true,true,true,false,readiness_gate_pending
3.627,false,true,true,true,true,true,false,readiness_gate_pending
3.828,false,true,true,true,true,true,false,readiness_gate_pending
4.027,false,true,true,true,true,true,false,readiness_gate_pending
4.227,false,true,true,true,true,true,false,readiness_gate_pending
4.427,false,true,true,true,true,true,false,readiness_gate_pending
4.627,false,true,true,true,true,true,false,readiness_gate_pending
4.827,false,true,true,true,true,true,false,readiness_gate_pending
5.028,false,true,true,true,true,true,false,readiness_gate_pending
5.228,false,true,true,true,true,true,false,readiness_gate_pending
5.427,false,true,true,true,true,true,false,readiness_gate_pending
5.627,false,true,true,true,true,true,false,readiness_gate_pending
5.828,false,true,true,true,true,true,false,readiness_gate_pending
6.028,false,true,true,true,true,true,false,readiness_gate_pending
6.227,false,true,true,true,true,true,false,readiness_gate_pending
6.427,false,true,true,true,true,true,false,readiness_gate_pending
6.628,false,true,true,true,true,true,false,readiness_gate_pending
6.827,false,true,true,true,true,true,false,readiness_gate_pending
7.027,false,true,true,true,true,true,false,readiness_gate_pending
7.229,true,true,true,true,true,true,true,safety_gate_readiness_validated
7.427,true,true,true,true,true,true,true,safety_gate_readiness_validated
7.650,true,true,true,true,true,true,true,safety_gate_readiness_validated
7.827,true,true,true,true,true,true,true,safety_gate_readiness_validated
8.028,true,true,true,true,true,true,true,safety_gate_readiness_validated
8.227,true,true,true,true,true,true,true,safety_gate_readiness_validated
8.427,true,true,true,true,true,true,true,safety_gate_readiness_validated
8.629,true,true,true,true,true,true,true,safety_gate_readiness_validated
8.828,true,true,true,true,true,true,true,safety_gate_readiness_validated
9.027,true,true,true,true,true,true,true,safety_gate_readiness_validated
9.228,true,true,true,true,true,true,true,safety_gate_readiness_validated
9.427,true,true,true,true,true,true,true,safety_gate_readiness_validated
9.627,true,true,true,true,true,true,true,safety_gate_readiness_validated
9.828,true,true,true,true,true,true,true,safety_gate_readiness_validated
10.028,true,true,true,true,true,true,true,safety_gate_readiness_validated
10.227,true,true,true,true,true,true,true,safety_gate_readiness_validated
10.427,true,true,true,true,true,true,true,safety_gate_readiness_validated
10.627,true,true,true,true,true,true,true,safety_gate_readiness_validated
10.827,true,true,true,true,true,true,true,safety_gate_readiness_validated
11.027,true,true,true,true,true,true,true,safety_gate_readiness_validated
11.227,true,true,true,true,true,true,true,safety_gate_readiness_validated
11.427,true,true,true,true,true,true,true,safety_gate_readiness_validated
11.627,true,true,true,true,true,true,true,safety_gate_readiness_validated
11.827,true,true,true,true,true,true,true,safety_gate_readiness_validated
12.027,true,true,true,true,true,true,true,safety_gate_readiness_validated
12.227,true,true,true,true,true,true,true,safety_gate_readiness_validated
12.428,true,true,true,true,true,true,true,safety_gate_readiness_validated
12.627,true,true,true,true,true,true,true,safety_gate_readiness_validated
12.827,true,true,true,true,true,true,true,safety_gate_readiness_validated
13.028,true,true,true,true,true,true,true,safety_gate_readiness_validated
13.228,true,true,true,true,true,true,true,safety_gate_readiness_validated
13.427,true,true,true,true,true,true,true,safety_gate_readiness_validated
13.627,true,true,true,true,true,true,true,safety_gate_readiness_validated
13.827,true,true,true,true,true,true,true,safety_gate_readiness_validated
14.028,true,true,true,true,true,true,true,safety_gate_readiness_validated
14.227,true,true,true,true,true,true,true,safety_gate_readiness_validated
14.427,true,true,true,true,true,true,true,safety_gate_readiness_validated
