elapsed_sec,safety_gate_passed,safety_status_sample_available,max_observed_force_n,max_observed_torque_nm,safety_violation_count,command_output_enabled,motion_execution_enabled
0.627,true,true,0.000000,0.000000,0,false,false
0.827,true,true,0.000000,0.000000,0,false,false
1.028,true,true,0.000000,0.000000,0,false,false
1.227,true,true,0.000000,0.000000,0,false,false
1.427,true,true,0.000000,0.000000,0,false,false
1.627,true,true,0.000000,0.000000,0,false,false
1.827,true,true,0.000000,0.000000,0,false,false
2.028,true,true,0.000000,0.000000,0,false,false
2.228,true,true,0.000000,0.000000,0,false,false
2.427,true,true,0.000000,0.000000,0,false,false
2.627,true,true,0.000000,0.000000,0,false,false
2.827,true,true,0.000000,0.000000,0,false,false
3.028,true,true,0.000000,0.000000,0,false,false
3.227,true,true,0.000000,0.000000,0,false,false
3.428,true,true,0.000000,0.000000,0,false,false
3.627,true,true,0.000000,0.000000,0,false,false
3.828,true,true,0.000000,0.000000,0,false,false
4.027,true,true,0.000000,0.000000,0,false,false
4.227,true,true,0.000000,0.000000,0,false,false
4.427,true,true,0.000000,0.000000,0,false,false
4.627,true,true,0.000000,0.000000,0,false,false
4.827,true,true,0.000000,0.000000,0,false,false
5.028,true,true,0.000000,0.000000,0,false,false
5.228,true,true,0.000000,0.000000,0,false,false
5.427,true,true,0.000000,0.000000,0,false,false
5.627,true,true,0.000000,0.000000,0,false,false
5.828,true,true,0.000000,0.000000,0,false,false
6.028,true,true,0.000000,0.000000,0,false,false
6.227,true,true,0.000000,0.000000,0,false,false
6.427,true,true,0.000000,0.000000,0,false,false
6.628,true,true,0.000000,0.000000,0,false,false
6.827,true,true,0.000000,0.000000,0,false,false
7.027,true,true,0.000000,0.000000,0,false,false
7.229,true,true,0.000000,0.000000,0,false,false
7.427,true,true,0.000000,0.000000,0,false,false
7.650,true,true,0.000000,0.000000,0,false,false
7.827,true,true,0.000000,0.000000,0,false,false
8.028,true,true,0.000000,0.000000,0,false,false
8.227,true,true,0.000000,0.000000,0,false,false
8.427,true,true,0.000000,0.000000,0,false,false
8.629,true,true,0.000000,0.000000,0,false,false
8.828,true,true,0.000000,0.000000,0,false,false
9.027,true,true,0.000000,0.000000,0,false,false
9.228,true,true,0.000000,0.000000,0,false,false
9.427,true,true,0.000000,0.000000,0,false,false
9.627,true,true,0.000000,0.000000,0,false,false
9.828,true,true,0.000000,0.000000,0,false,false
10.028,true,true,0.000000,0.000000,0,false,false
10.227,true,true,0.000000,0.000000,0,false,false
10.427,true,true,0.000000,0.000000,0,false,false
10.627,true,true,0.000000,0.000000,0,false,false
10.827,true,true,0.000000,0.000000,0,false,false
11.027,true,true,0.000000,0.000000,0,false,false
11.227,true,true,0.000000,0.000000,0,false,false
11.427,true,true,0.000000,0.000000,0,false,false
11.627,true,true,0.000000,0.000000,0,false,false
11.827,true,true,0.000000,0.000000,0,false,false
12.027,true,true,0.000000,0.000000,0,false,false
12.227,true,true,0.000000,0.000000,0,false,false
12.428,true,true,0.000000,0.000000,0,false,false
12.627,true,true,0.000000,0.000000,0,false,false
12.827,true,true,0.000000,0.000000,0,false,false
13.028,true,true,0.000000,0.000000,0,false,false
13.228,true,true,0.000000,0.000000,0,false,false
13.427,true,true,0.000000,0.000000,0,false,false
13.627,true,true,0.000000,0.000000,0,false,false
13.827,true,true,0.000000,0.000000,0,false,false
14.028,true,true,0.000000,0.000000,0,false,false
14.227,true,true,0.000000,0.000000,0,false,false
14.427,true,true,0.000000,0.000000,0,false,false
