elapsed_sec,future_controller_may_read_required_inputs,future_controller_may_publish_diagnostic_suggestions_only,motion_commands_forbidden,moveit_forbidden,compute_ik_forbidden,controller_execution_forbidden,real_robot_execution_forbidden,follow_joint_trajectory_forbidden,pre_control_contract_valid,status
0.651,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
0.851,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
1.051,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
1.251,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
1.451,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
1.651,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
1.851,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
2.051,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
2.251,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
2.451,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
2.651,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
2.851,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
3.051,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
3.251,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
3.451,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
3.651,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
3.851,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
4.051,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
4.251,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
4.451,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
4.651,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
4.851,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
5.051,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
5.251,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
5.453,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
5.651,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
5.851,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
6.051,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
6.251,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
6.451,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
6.651,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
6.851,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
7.051,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
7.251,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
7.451,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
7.651,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
7.851,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
8.051,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
8.252,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
8.451,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
8.651,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
8.851,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
9.051,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
9.251,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
9.451,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
9.651,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
9.851,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
10.051,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
10.251,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
10.451,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
10.651,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
10.851,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
11.051,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
11.251,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
11.451,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
11.651,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
11.851,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
12.052,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
12.252,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
12.451,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
12.651,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
12.851,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
13.052,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
13.251,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
13.451,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
13.651,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
13.851,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
14.051,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
14.251,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
14.451,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
14.651,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
14.851,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
15.051,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
15.253,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
15.451,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
15.654,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
15.851,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
16.052,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
16.251,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
16.451,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
16.651,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
16.851,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
17.051,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
17.251,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
17.451,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
17.651,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
17.851,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
18.051,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
18.251,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
18.451,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
