elapsed_sec,contact_state,force_magnitude_n,torque_magnitude_nm,command_output_enabled,motion_execution_enabled
0.212,no_contact,0.000000,0.000000,false,false
0.412,no_contact,0.000000,0.000000,false,false
0.612,no_contact,0.000000,0.000000,false,false
0.811,no_contact,0.000000,0.000000,false,false
1.011,no_contact,0.000000,0.000000,false,false
1.211,no_contact,0.000000,0.000000,false,false
1.411,no_contact,0.000000,0.000000,false,false
1.611,no_contact,0.000000,0.000000,false,false
1.811,no_contact,0.000000,0.000000,false,false
2.011,no_contact,0.000000,0.000000,false,false
2.211,no_contact,0.000000,0.000000,false,false
2.411,no_contact,0.000000,0.000000,false,false
2.611,no_contact,0.000000,0.000000,false,false
2.811,no_contact,0.000000,0.000000,false,false
3.011,no_contact,0.000000,0.000000,false,false
3.211,no_contact,0.000000,0.000000,false,false
3.411,no_contact,0.000000,0.000000,false,false
3.612,no_contact,0.000000,0.000000,false,false
3.812,no_contact,0.000000,0.000000,false,false
4.012,no_contact,0.000000,0.000000,false,false
4.211,no_contact,0.000000,0.000000,false,false
4.411,no_contact,0.000000,0.000000,false,false
4.611,no_contact,0.000000,0.000000,false,false
4.812,no_contact,0.000000,0.000000,false,false
5.011,no_contact,0.000000,0.000000,false,false
5.387,no_contact,0.000000,0.000000,false,false
5.411,no_contact,0.000000,0.000000,false,false
5.612,no_contact,0.000000,0.000000,false,false
5.812,no_contact,0.000000,0.000000,false,false
6.012,no_contact,0.000000,0.000000,false,false
6.211,no_contact,0.000000,0.000000,false,false
6.412,no_contact,0.000000,0.000000,false,false
6.611,no_contact,0.000000,0.000000,false,false
6.811,no_contact,0.000000,0.000000,false,false
7.012,no_contact,0.000000,0.000000,false,false
7.211,no_contact,0.000000,0.000000,false,false
7.411,no_contact,0.000000,0.000000,false,false
7.611,no_contact,0.000000,0.000000,false,false
7.811,no_contact,0.000000,0.000000,false,false
8.011,no_contact,0.000000,0.000000,false,false
8.211,no_contact,0.000000,0.000000,false,false
8.411,no_contact,0.000000,0.000000,false,false
8.611,no_contact,0.000000,0.000000,false,false
8.811,no_contact,0.000000,0.000000,false,false
9.011,no_contact,0.000000,0.000000,false,false
9.211,no_contact,0.000000,0.000000,false,false
9.411,no_contact,0.000000,0.000000,false,false
9.612,no_contact,0.000000,0.000000,false,false
9.811,no_contact,0.000000,0.000000,false,false
10.011,no_contact,0.000000,0.000000,false,false
10.212,no_contact,0.000000,0.000000,false,false
10.411,no_contact,0.000000,0.000000,false,false
10.611,no_contact,0.000000,0.000000,false,false
10.812,no_contact,0.000000,0.000000,false,false
11.011,no_contact,0.000000,0.000000,false,false
11.211,no_contact,0.000000,0.000000,false,false
11.411,no_contact,0.000000,0.000000,false,false
11.612,no_contact,0.000000,0.000000,false,false
11.811,no_contact,0.000000,0.000000,false,false
12.012,no_contact,0.000000,0.000000,false,false
