elapsed_sec,command_output_enabled,motion_execution_enabled,controller_execution_allowed,trajectory_execution_allowed,follow_joint_trajectory_allowed,real_robot_allowed,moveit_allowed,compute_ik_allowed,command_proposal_blocked,execution_paths_disabled,status
0.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
0.417,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
0.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
0.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
1.017,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
1.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
1.416,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
1.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
1.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
2.017,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
2.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
2.417,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
2.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
2.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
3.016,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
3.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
3.417,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
3.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
3.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
4.017,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
4.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
4.417,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
4.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
4.818,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
5.017,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
5.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
5.418,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
5.616,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
5.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
6.016,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
6.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
6.418,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
6.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
6.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
7.017,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
7.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
7.418,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
7.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
7.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
8.017,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
8.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
8.417,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
8.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
8.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
9.017,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
9.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
9.417,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
9.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
9.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
10.017,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
10.216,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
10.417,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
10.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
10.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
11.017,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
11.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
11.417,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
11.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
11.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
12.017,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
12.221,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
12.417,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
12.618,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
12.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
13.017,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
13.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
13.417,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
13.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
13.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
