elapsed_sec,control_input_monitor_available,control_command_proposal_available,command_blocker_available,safety_gate_checker_available,control_boundary_checker_available,control_readiness_report_available,command_proposal_blocked,ready_for_future_controller_development,status
0.217,true,true,true,false,false,true,true,false,control_development_scaffold_pending
0.417,true,true,true,true,true,true,true,false,control_development_scaffold_pending
0.617,true,true,true,true,true,true,true,false,control_development_scaffold_pending
0.817,true,true,true,true,true,true,true,false,control_development_scaffold_pending
1.017,true,true,true,true,true,true,true,false,control_development_scaffold_pending
1.217,true,true,true,true,true,true,true,false,control_development_scaffold_pending
1.416,true,true,true,true,true,true,true,false,control_development_scaffold_pending
1.617,true,true,true,true,true,true,true,false,control_development_scaffold_pending
1.817,true,true,true,true,true,true,true,false,control_development_scaffold_pending
2.017,true,true,true,true,true,true,true,false,control_development_scaffold_pending
2.217,true,true,true,true,true,true,true,false,control_development_scaffold_pending
2.417,true,true,true,true,true,true,true,false,control_development_scaffold_pending
2.617,true,true,true,true,true,true,true,false,control_development_scaffold_pending
2.817,true,true,true,true,true,true,true,false,control_development_scaffold_pending
3.016,true,true,true,true,true,true,true,false,control_development_scaffold_pending
3.217,true,true,true,true,true,true,true,false,control_development_scaffold_pending
3.417,true,true,true,true,true,true,true,false,control_development_scaffold_pending
3.617,true,true,true,true,true,true,true,false,control_development_scaffold_pending
3.817,true,true,true,true,true,true,true,false,control_development_scaffold_pending
4.017,true,true,true,true,true,true,true,false,control_development_scaffold_pending
4.217,true,true,true,true,true,true,true,false,control_development_scaffold_pending
4.417,true,true,true,true,true,true,true,false,control_development_scaffold_pending
4.617,true,true,true,true,true,true,true,false,control_development_scaffold_pending
4.818,true,true,true,true,true,true,true,false,control_development_scaffold_pending
5.017,true,true,true,true,true,true,true,false,control_development_scaffold_pending
5.217,true,true,true,true,true,true,true,false,control_development_scaffold_pending
5.418,true,true,true,true,true,true,true,false,control_development_scaffold_pending
5.616,true,true,true,true,true,true,true,false,control_development_scaffold_pending
5.817,true,true,true,true,true,true,true,false,control_development_scaffold_pending
6.016,true,true,true,true,true,true,true,false,control_development_scaffold_pending
6.217,true,true,true,true,true,true,true,true,control_development_scaffold_validated
6.418,true,true,true,true,true,true,true,true,control_development_scaffold_validated
6.617,true,true,true,true,true,true,true,true,control_development_scaffold_validated
6.817,true,true,true,true,true,true,true,true,control_development_scaffold_validated
7.017,true,true,true,true,true,true,true,true,control_development_scaffold_validated
7.217,true,true,true,true,true,true,true,true,control_development_scaffold_validated
7.418,true,true,true,true,true,true,true,true,control_development_scaffold_validated
7.617,true,true,true,true,true,true,true,true,control_development_scaffold_validated
7.817,true,true,true,true,true,true,true,true,control_development_scaffold_validated
8.017,true,true,true,true,true,true,true,true,control_development_scaffold_validated
8.217,true,true,true,true,true,true,true,true,control_development_scaffold_validated
8.417,true,true,true,true,true,true,true,true,control_development_scaffold_validated
8.617,true,true,true,true,true,true,true,true,control_development_scaffold_validated
8.817,true,true,true,true,true,true,true,true,control_development_scaffold_validated
9.017,true,true,true,true,true,true,true,true,control_development_scaffold_validated
9.217,true,true,true,true,true,true,true,true,control_development_scaffold_validated
9.417,true,true,true,true,true,true,true,true,control_development_scaffold_validated
9.617,true,true,true,true,true,true,true,true,control_development_scaffold_validated
9.817,true,true,true,true,true,true,true,true,control_development_scaffold_validated
10.017,true,true,true,true,true,true,true,true,control_development_scaffold_validated
10.216,true,true,true,true,true,true,true,true,control_development_scaffold_validated
10.417,true,true,true,true,true,true,true,true,control_development_scaffold_validated
10.617,true,true,true,true,true,true,true,true,control_development_scaffold_validated
10.817,true,true,true,true,true,true,true,true,control_development_scaffold_validated
11.017,true,true,true,true,true,true,true,true,control_development_scaffold_validated
11.217,true,true,true,true,true,true,true,true,control_development_scaffold_validated
11.417,true,true,true,true,true,true,true,true,control_development_scaffold_validated
11.617,true,true,true,true,true,true,true,true,control_development_scaffold_validated
11.817,true,true,true,true,true,true,true,true,control_development_scaffold_validated
12.017,true,true,true,true,true,true,true,true,control_development_scaffold_validated
12.221,true,true,true,true,true,true,true,true,control_development_scaffold_validated
12.417,true,true,true,true,true,true,true,true,control_development_scaffold_validated
12.618,true,true,true,true,true,true,true,true,control_development_scaffold_validated
12.817,true,true,true,true,true,true,true,true,control_development_scaffold_validated
13.017,true,true,true,true,true,true,true,true,control_development_scaffold_validated
13.217,true,true,true,true,true,true,true,true,control_development_scaffold_validated
13.417,true,true,true,true,true,true,true,true,control_development_scaffold_validated
13.617,true,true,true,true,true,true,true,true,control_development_scaffold_validated
13.817,true,true,true,true,true,true,true,true,control_development_scaffold_validated
14.018,true,true,true,true,true,true,true,true,control_development_scaffold_validated
14.217,true,true,true,true,true,true,true,true,control_development_scaffold_validated
14.417,true,true,true,true,true,true,true,true,control_development_scaffold_validated
14.618,true,true,true,true,true,true,true,true,control_development_scaffold_validated
14.817,true,true,true,true,true,true,true,true,control_development_scaffold_validated
15.017,true,true,true,true,true,true,true,true,control_development_scaffold_validated
15.217,true,true,true,true,true,true,true,true,control_development_scaffold_validated
15.417,true,true,true,true,true,true,true,true,control_development_scaffold_validated
15.617,true,true,true,true,true,true,true,true,control_development_scaffold_validated
15.817,true,true,true,true,true,true,true,true,control_development_scaffold_validated
16.017,true,true,true,true,true,true,true,true,control_development_scaffold_validated
16.217,true,true,true,true,true,true,true,true,control_development_scaffold_validated
16.417,true,true,true,true,true,true,true,true,control_development_scaffold_validated
16.617,true,true,true,true,true,true,true,true,control_development_scaffold_validated
16.817,true,true,true,true,true,true,true,true,control_development_scaffold_validated
17.017,true,true,true,true,true,true,true,true,control_development_scaffold_validated
17.217,true,true,true,true,true,true,true,true,control_development_scaffold_validated
17.417,true,true,true,true,true,true,true,true,control_development_scaffold_validated
17.617,true,true,true,true,true,true,true,true,control_development_scaffold_validated
17.817,true,true,true,true,true,true,true,true,control_development_scaffold_validated
18.017,true,true,true,true,true,true,true,true,control_development_scaffold_validated
18.217,true,true,true,true,true,true,true,true,control_development_scaffold_validated
18.417,true,true,true,true,true,true,true,true,control_development_scaffold_validated
18.617,true,true,true,true,true,true,true,true,control_development_scaffold_validated
18.817,true,true,true,true,true,true,true,true,control_development_scaffold_validated
19.017,true,true,true,true,true,true,true,true,control_development_scaffold_validated
19.217,true,true,true,true,true,true,true,true,control_development_scaffold_validated
19.417,true,true,true,true,true,true,true,true,control_development_scaffold_validated
19.617,true,true,true,true,true,true,true,true,control_development_scaffold_validated
19.817,true,true,true,true,true,true,true,true,control_development_scaffold_validated
20.017,true,true,true,true,true,true,true,true,control_development_scaffold_validated
