elapsed_sec,proposal_readiness_gate_passed,ready_for_next_control_development_stage,command_output_enabled,motion_execution_enabled,status
0.215,false,false,false,false,readiness_gate_pending
0.415,false,false,false,false,readiness_gate_pending
0.615,false,false,false,false,readiness_gate_pending
0.815,false,false,false,false,readiness_gate_pending
1.015,false,false,false,false,readiness_gate_pending
1.215,false,false,false,false,readiness_gate_pending
1.415,false,false,false,false,readiness_gate_pending
1.615,false,false,false,false,readiness_gate_pending
1.816,false,false,false,false,readiness_gate_pending
2.016,false,false,false,false,readiness_gate_pending
2.215,false,false,false,false,readiness_gate_pending
2.415,false,false,false,false,readiness_gate_pending
2.615,false,false,false,false,readiness_gate_pending
2.815,false,false,false,false,readiness_gate_pending
3.015,false,false,false,false,readiness_gate_pending
3.215,false,false,false,false,readiness_gate_pending
3.415,false,false,false,false,readiness_gate_pending
3.615,false,false,false,false,readiness_gate_pending
3.815,false,false,false,false,readiness_gate_pending
4.015,false,false,false,false,readiness_gate_pending
4.215,false,false,false,false,readiness_gate_pending
4.415,false,false,false,false,readiness_gate_pending
4.615,false,false,false,false,readiness_gate_pending
4.817,false,false,false,false,readiness_gate_pending
5.017,false,false,false,false,readiness_gate_pending
5.215,false,false,false,false,readiness_gate_pending
5.416,false,false,false,false,readiness_gate_pending
5.616,false,false,false,false,readiness_gate_pending
5.815,false,false,false,false,readiness_gate_pending
6.015,false,false,false,false,readiness_gate_pending
6.215,true,true,false,false,safety_gate_readiness_validated
6.415,true,true,false,false,safety_gate_readiness_validated
6.615,true,true,false,false,safety_gate_readiness_validated
6.815,true,true,false,false,safety_gate_readiness_validated
7.015,true,true,false,false,safety_gate_readiness_validated
7.215,true,true,false,false,safety_gate_readiness_validated
7.415,true,true,false,false,safety_gate_readiness_validated
7.615,true,true,false,false,safety_gate_readiness_validated
7.817,true,true,false,false,safety_gate_readiness_validated
8.015,true,true,false,false,safety_gate_readiness_validated
8.215,true,true,false,false,safety_gate_readiness_validated
8.415,true,true,false,false,safety_gate_readiness_validated
8.616,true,true,false,false,safety_gate_readiness_validated
8.816,true,true,false,false,safety_gate_readiness_validated
9.016,true,true,false,false,safety_gate_readiness_validated
9.216,true,true,false,false,safety_gate_readiness_validated
9.415,true,true,false,false,safety_gate_readiness_validated
9.615,true,true,false,false,safety_gate_readiness_validated
9.815,true,true,false,false,safety_gate_readiness_validated
10.015,true,true,false,false,safety_gate_readiness_validated
10.215,true,true,false,false,safety_gate_readiness_validated
10.415,true,true,false,false,safety_gate_readiness_validated
10.615,true,true,false,false,safety_gate_readiness_validated
10.816,true,true,false,false,safety_gate_readiness_validated
11.015,true,true,false,false,safety_gate_readiness_validated
11.215,true,true,false,false,safety_gate_readiness_validated
11.415,true,true,false,false,safety_gate_readiness_validated
11.615,true,true,false,false,safety_gate_readiness_validated
11.815,true,true,false,false,safety_gate_readiness_validated
12.015,true,true,false,false,safety_gate_readiness_validated
12.215,true,true,false,false,safety_gate_readiness_validated
12.416,true,true,false,false,safety_gate_readiness_validated
12.615,true,true,false,false,safety_gate_readiness_validated
12.815,true,true,false,false,safety_gate_readiness_validated
13.015,true,true,false,false,safety_gate_readiness_validated
13.216,true,true,false,false,safety_gate_readiness_validated
13.415,true,true,false,false,safety_gate_readiness_validated
13.615,true,true,false,false,safety_gate_readiness_validated
13.816,true,true,false,false,safety_gate_readiness_validated
14.015,true,true,false,false,safety_gate_readiness_validated
