elapsed_sec,blocked_control_command_generated,blocked_control_command_confirmed,command_output_enabled,motion_execution_enabled,controller_execution_allowed,trajectory_execution_allowed,follow_joint_trajectory_allowed,moveit_allowed,compute_ik_allowed,sent_to_controller,status
0.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
0.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
0.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
1.080,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
1.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
1.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
1.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
1.881,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
2.081,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
2.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
2.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
2.681,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
2.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
3.080,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
3.283,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
3.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
3.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
3.881,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
4.080,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
4.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
4.482,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
4.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
4.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
5.080,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
5.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
5.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
5.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
5.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
6.080,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
6.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
6.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
6.682,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
6.883,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
7.081,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
7.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
7.483,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
7.683,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
7.883,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
8.083,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
8.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
8.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
8.682,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
8.883,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
9.081,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
9.282,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
9.481,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
9.681,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
9.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
10.082,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
10.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
10.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
10.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
10.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
11.081,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
11.281,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
11.482,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
11.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
11.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
12.080,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
12.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
12.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
12.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
12.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
13.080,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
13.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
13.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
13.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
13.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
14.080,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
14.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
14.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
14.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
14.881,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
15.083,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
15.283,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
15.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
15.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
15.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
16.080,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
16.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
16.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
16.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
16.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
17.080,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
17.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
17.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
17.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
17.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
18.084,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
18.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
18.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
18.681,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
18.881,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
19.082,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
19.282,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
19.481,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
19.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
