elapsed_sec,safety_report_available,contact_detected,contact_force_magnitude_n,warning_force_exceeded,emergency_stop_force_exceeded,within_force_limit,within_torque_limit,safety_clipping_active,status
0.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
0.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
0.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
1.080,true,false,0.000000,false,false,true,true,true,safety_report_nominal
1.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
1.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
1.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
1.881,true,false,0.000000,false,false,true,true,true,safety_report_nominal
2.081,true,false,0.000000,false,false,true,true,true,safety_report_nominal
2.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
2.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
2.681,true,false,0.000000,false,false,true,true,true,safety_report_nominal
2.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
3.080,true,false,0.000000,false,false,true,true,true,safety_report_nominal
3.283,true,false,0.000000,false,false,true,true,true,safety_report_nominal
3.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
3.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
3.881,true,false,0.000000,false,false,true,true,true,safety_report_nominal
4.080,true,false,0.000000,false,false,true,true,true,safety_report_nominal
4.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
4.482,true,false,0.000000,false,false,true,true,true,safety_report_nominal
4.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
4.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
5.080,true,false,0.000000,false,false,true,true,true,safety_report_nominal
5.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
5.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
5.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
5.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
6.080,true,false,0.000000,false,false,true,true,true,safety_report_nominal
6.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
6.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
6.682,true,false,0.000000,false,false,true,true,true,safety_report_nominal
6.883,true,false,0.000000,false,false,true,true,true,safety_report_nominal
7.081,true,false,0.000000,false,false,true,true,true,safety_report_nominal
7.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
7.483,true,false,0.000000,false,false,true,true,true,safety_report_nominal
7.683,true,false,0.000000,false,false,true,true,true,safety_report_nominal
7.883,true,false,0.000000,false,false,true,true,true,safety_report_nominal
8.083,true,false,0.000000,false,false,true,true,true,safety_report_nominal
8.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
8.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
8.682,true,false,0.000000,false,false,true,true,true,safety_report_nominal
8.883,true,false,0.000000,false,false,true,true,true,safety_report_nominal
9.081,true,false,0.000000,false,false,true,true,true,safety_report_nominal
9.282,true,false,0.000000,false,false,true,true,true,safety_report_nominal
9.481,true,false,0.000000,false,false,true,true,true,safety_report_nominal
9.681,true,false,0.000000,false,false,true,true,true,safety_report_nominal
9.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
10.082,true,false,0.000000,false,false,true,true,true,safety_report_nominal
10.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
10.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
10.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
10.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
11.081,true,false,0.000000,false,false,true,true,true,safety_report_nominal
11.281,true,false,0.000000,false,false,true,true,true,safety_report_nominal
11.482,true,false,0.000000,false,false,true,true,true,safety_report_nominal
11.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
11.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
12.080,true,false,0.000000,false,false,true,true,true,safety_report_nominal
12.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
12.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
12.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
12.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
13.080,true,false,0.000000,false,false,true,true,true,safety_report_nominal
13.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
13.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
13.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
13.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
14.080,true,false,0.000000,false,false,true,true,true,safety_report_nominal
14.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
14.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
14.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
14.881,true,false,0.000000,false,false,true,true,true,safety_report_nominal
15.083,true,false,0.000000,false,false,true,true,true,safety_report_nominal
15.283,true,false,0.000000,false,false,true,true,true,safety_report_nominal
15.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
15.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
15.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
16.080,true,false,0.000000,false,false,true,true,true,safety_report_nominal
16.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
16.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
16.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
16.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
17.080,true,false,0.000000,false,false,true,true,true,safety_report_nominal
17.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
17.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
17.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
17.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
18.084,true,false,0.000000,false,false,true,true,true,safety_report_nominal
18.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
18.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
18.681,true,false,0.000000,false,false,true,true,true,safety_report_nominal
18.881,true,false,0.000000,false,false,true,true,true,safety_report_nominal
19.082,true,false,0.000000,false,false,true,true,true,safety_report_nominal
19.282,true,false,0.000000,false,false,true,true,true,safety_report_nominal
19.481,true,false,0.000000,false,false,true,true,true,safety_report_nominal
19.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
19.881,true,false,0.000000,false,false,true,true,true,safety_report_nominal
20.083,true,false,0.000000,false,false,true,true,true,safety_report_nominal
20.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
20.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
20.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
20.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
