elapsed_sec,control_law_enabled,dry_run_only,all_required_inputs_available,control_law_output_generated,blocked_control_command_generated,blocked_control_command_confirmed,safety_report_available,execution_paths_disabled,status
0.480,true,true,false,true,true,true,true,true,no_motion_control_law_dry_run_pending
0.680,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
0.880,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
1.080,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
1.280,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
1.480,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
1.680,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
1.881,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
2.081,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
2.280,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
2.480,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
2.681,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
2.880,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
3.080,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
3.283,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
3.480,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
3.680,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
3.881,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
4.080,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
4.280,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
4.482,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
4.680,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
4.880,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
5.080,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
5.280,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
5.480,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
5.680,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
5.880,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
6.080,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
6.280,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
6.480,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
6.682,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
6.883,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
7.081,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
7.280,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
7.483,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
7.683,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
7.883,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
8.083,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
8.280,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
8.480,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
8.682,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
8.883,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
9.081,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
9.282,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
9.481,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
9.681,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
9.880,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
10.082,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
