elapsed_sec,sensor_gate_passed,contact_gate_passed,safety_gate_passed,virtual_force_gate_passed,admittance_gate_passed,execution_disabled_gate_passed,proposal_readiness_gate_passed,status
0.458,false,false,false,false,false,true,false,readiness_gate_pending
0.658,false,true,true,true,true,true,false,readiness_gate_pending
0.858,false,true,true,true,true,true,false,readiness_gate_pending
1.058,false,true,true,true,true,true,false,readiness_gate_pending
1.258,false,true,true,true,true,true,false,readiness_gate_pending
1.458,false,true,true,true,true,true,false,readiness_gate_pending
1.658,false,true,true,true,true,true,false,readiness_gate_pending
1.858,false,true,true,true,true,true,false,readiness_gate_pending
2.058,false,true,true,true,true,true,false,readiness_gate_pending
2.258,false,true,true,true,true,true,false,readiness_gate_pending
2.458,false,true,true,true,true,true,false,readiness_gate_pending
2.659,false,true,true,true,true,true,false,readiness_gate_pending
2.858,false,true,true,true,true,true,false,readiness_gate_pending
3.058,false,true,true,true,true,true,false,readiness_gate_pending
3.260,false,true,true,true,true,true,false,readiness_gate_pending
3.458,false,true,true,true,true,true,false,readiness_gate_pending
3.658,false,true,true,true,true,true,false,readiness_gate_pending
3.858,false,true,true,true,true,true,false,readiness_gate_pending
4.058,false,true,true,true,true,true,false,readiness_gate_pending
4.258,false,true,true,true,true,true,false,readiness_gate_pending
4.459,false,true,true,true,true,true,false,readiness_gate_pending
4.658,false,true,true,true,true,true,false,readiness_gate_pending
4.858,false,true,true,true,true,true,false,readiness_gate_pending
5.058,false,true,true,true,true,true,false,readiness_gate_pending
5.258,false,true,true,true,true,true,false,readiness_gate_pending
5.458,false,true,true,true,true,true,false,readiness_gate_pending
5.658,false,true,true,true,true,true,false,readiness_gate_pending
5.858,false,true,true,true,true,true,false,readiness_gate_pending
6.058,false,true,true,true,true,true,false,readiness_gate_pending
6.258,false,true,true,true,true,true,false,readiness_gate_pending
6.458,false,true,true,true,true,true,false,readiness_gate_pending
6.660,false,true,true,true,true,true,false,readiness_gate_pending
6.861,false,true,true,true,true,true,false,readiness_gate_pending
7.059,false,true,true,true,true,true,false,readiness_gate_pending
7.258,false,true,true,true,true,true,false,readiness_gate_pending
7.460,false,true,true,true,true,true,false,readiness_gate_pending
7.661,false,true,true,true,true,true,false,readiness_gate_pending
7.861,false,true,true,true,true,true,false,readiness_gate_pending
8.061,false,true,true,true,true,true,false,readiness_gate_pending
8.258,false,true,true,true,true,true,false,readiness_gate_pending
8.458,false,true,true,true,true,true,false,readiness_gate_pending
8.659,false,true,true,true,true,true,false,readiness_gate_pending
8.861,false,true,true,true,true,true,false,readiness_gate_pending
9.059,false,true,true,true,true,true,false,readiness_gate_pending
9.260,false,true,true,true,true,true,false,readiness_gate_pending
9.459,false,true,true,true,true,true,false,readiness_gate_pending
9.659,false,true,true,true,true,true,false,readiness_gate_pending
9.858,false,true,true,true,true,true,false,readiness_gate_pending
10.060,false,true,true,true,true,true,false,readiness_gate_pending
10.258,false,true,true,true,true,true,false,readiness_gate_pending
10.458,false,true,true,true,true,true,false,readiness_gate_pending
10.658,false,true,true,true,true,true,false,readiness_gate_pending
10.858,false,true,true,true,true,true,false,readiness_gate_pending
11.059,false,true,true,true,true,true,false,readiness_gate_pending
11.258,false,true,true,true,true,true,false,readiness_gate_pending
11.459,false,true,true,true,true,true,false,readiness_gate_pending
11.658,false,true,true,true,true,true,false,readiness_gate_pending
11.858,false,true,true,true,true,true,false,readiness_gate_pending
12.058,false,true,true,true,true,true,false,readiness_gate_pending
12.258,false,true,true,true,true,true,false,readiness_gate_pending
12.458,false,true,true,true,true,true,false,readiness_gate_pending
12.658,false,true,true,true,true,true,false,readiness_gate_pending
12.858,false,true,true,true,true,true,false,readiness_gate_pending
13.058,false,true,true,true,true,true,false,readiness_gate_pending
13.258,false,true,true,true,true,true,false,readiness_gate_pending
13.458,false,true,true,true,true,true,false,readiness_gate_pending
13.658,false,true,true,true,true,true,false,readiness_gate_pending
13.858,false,true,true,true,true,true,false,readiness_gate_pending
14.058,false,true,true,true,true,true,false,readiness_gate_pending
14.258,false,true,true,true,true,true,false,readiness_gate_pending
