elapsed_sec,command_output_enabled,motion_execution_enabled,controller_execution_allowed,trajectory_execution_allowed,follow_joint_trajectory_allowed,real_robot_allowed,moveit_allowed,compute_ik_allowed,command_proposal_blocked,execution_paths_disabled,status
0.460,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
0.660,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
0.860,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
1.060,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
1.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
1.460,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
1.661,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
1.861,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
2.061,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
2.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
2.460,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
2.661,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
2.860,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
3.060,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
3.264,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
3.460,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
3.661,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
3.861,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
4.060,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
4.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
4.462,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
4.660,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
4.860,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
5.060,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
5.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
5.460,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
5.660,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
5.860,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
6.060,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
6.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
6.460,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
6.662,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
6.864,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
7.061,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
7.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
7.463,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
7.664,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
7.863,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
8.063,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
8.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
8.460,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
8.662,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
8.863,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
9.061,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
9.263,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
9.461,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
9.661,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
9.860,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
10.062,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
10.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
10.460,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
10.660,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
10.860,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
11.061,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
11.261,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
11.462,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
11.660,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
11.860,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
12.060,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
12.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
12.460,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
12.660,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
12.860,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
13.060,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
13.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
13.460,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
13.660,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
13.860,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
14.060,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
14.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
14.463,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
14.660,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
14.862,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
15.063,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
15.263,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
15.460,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
15.660,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
15.860,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
16.060,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
16.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
16.461,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
16.660,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
16.860,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
17.060,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
17.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
17.460,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
17.660,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
17.860,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
18.063,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
18.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
18.460,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
18.662,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
18.861,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
19.062,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
19.262,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
19.462,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
19.661,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
19.862,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
20.063,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
20.260,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
