elapsed_sec,control_input_monitor_available,control_command_proposal_available,command_blocker_available,safety_gate_checker_available,control_boundary_checker_available,control_readiness_report_available,command_proposal_blocked,ready_for_future_controller_development,status
0.460,true,true,true,false,false,true,true,false,control_development_scaffold_pending
0.660,true,true,true,false,true,true,true,false,control_development_scaffold_pending
0.860,true,true,true,true,true,true,true,false,control_development_scaffold_pending
1.060,true,true,true,true,true,true,true,false,control_development_scaffold_pending
1.260,true,true,true,true,true,true,true,false,control_development_scaffold_pending
1.460,true,true,true,true,true,true,true,false,control_development_scaffold_pending
1.661,true,true,true,true,true,true,true,false,control_development_scaffold_pending
1.861,true,true,true,true,true,true,true,false,control_development_scaffold_pending
2.061,true,true,true,true,true,true,true,false,control_development_scaffold_pending
2.260,true,true,true,true,true,true,true,false,control_development_scaffold_pending
2.460,true,true,true,true,true,true,true,false,control_development_scaffold_pending
2.661,true,true,true,true,true,true,true,false,control_development_scaffold_pending
2.860,true,true,true,true,true,true,true,false,control_development_scaffold_pending
3.060,true,true,true,true,true,true,true,false,control_development_scaffold_pending
3.264,true,true,true,true,true,true,true,false,control_development_scaffold_pending
3.460,true,true,true,true,true,true,true,false,control_development_scaffold_pending
3.661,true,true,true,true,true,true,true,false,control_development_scaffold_pending
3.861,true,true,true,true,true,true,true,false,control_development_scaffold_pending
4.060,true,true,true,true,true,true,true,false,control_development_scaffold_pending
4.260,true,true,true,true,true,true,true,false,control_development_scaffold_pending
4.462,true,true,true,true,true,true,true,false,control_development_scaffold_pending
4.660,true,true,true,true,true,true,true,false,control_development_scaffold_pending
4.860,true,true,true,true,true,true,true,false,control_development_scaffold_pending
5.060,true,true,true,true,true,true,true,false,control_development_scaffold_pending
5.260,true,true,true,true,true,true,true,false,control_development_scaffold_pending
5.460,true,true,true,true,true,true,true,false,control_development_scaffold_pending
5.660,true,true,true,true,true,true,true,false,control_development_scaffold_pending
5.860,true,true,true,true,true,true,true,false,control_development_scaffold_pending
6.060,true,true,true,true,true,true,true,false,control_development_scaffold_pending
6.260,true,true,true,true,true,true,true,false,control_development_scaffold_pending
6.460,true,true,true,true,true,true,true,false,control_development_scaffold_pending
6.662,true,true,true,true,true,true,true,false,control_development_scaffold_pending
6.864,true,true,true,true,true,true,true,false,control_development_scaffold_pending
7.061,true,true,true,true,true,true,true,false,control_development_scaffold_pending
7.260,true,true,true,true,true,true,true,false,control_development_scaffold_pending
7.463,true,true,true,true,true,true,true,false,control_development_scaffold_pending
7.664,true,true,true,true,true,true,true,false,control_development_scaffold_pending
7.863,true,true,true,true,true,true,true,false,control_development_scaffold_pending
8.063,true,true,true,true,true,true,true,false,control_development_scaffold_pending
8.260,true,true,true,true,true,true,true,false,control_development_scaffold_pending
8.460,true,true,true,true,true,true,true,false,control_development_scaffold_pending
8.662,true,true,true,true,true,true,true,false,control_development_scaffold_pending
8.863,true,true,true,true,true,true,true,false,control_development_scaffold_pending
9.061,true,true,true,true,true,true,true,false,control_development_scaffold_pending
9.263,true,true,true,true,true,true,true,false,control_development_scaffold_pending
9.461,true,true,true,true,true,true,true,false,control_development_scaffold_pending
9.661,true,true,true,true,true,true,true,false,control_development_scaffold_pending
9.860,true,true,true,true,true,true,true,false,control_development_scaffold_pending
10.062,true,true,true,true,true,true,true,false,control_development_scaffold_pending
10.260,true,true,true,true,true,true,true,false,control_development_scaffold_pending
10.460,true,true,true,true,true,true,true,false,control_development_scaffold_pending
10.660,true,true,true,true,true,true,true,false,control_development_scaffold_pending
10.860,true,true,true,true,true,true,true,false,control_development_scaffold_pending
11.061,true,true,true,true,true,true,true,false,control_development_scaffold_pending
11.261,true,true,true,true,true,true,true,false,control_development_scaffold_pending
11.462,true,true,true,true,true,true,true,false,control_development_scaffold_pending
11.660,true,true,true,true,true,true,true,false,control_development_scaffold_pending
11.860,true,true,true,true,true,true,true,false,control_development_scaffold_pending
12.060,true,true,true,true,true,true,true,false,control_development_scaffold_pending
12.260,true,true,true,true,true,true,true,false,control_development_scaffold_pending
12.460,true,true,true,true,true,true,true,false,control_development_scaffold_pending
12.660,true,true,true,true,true,true,true,false,control_development_scaffold_pending
12.860,true,true,true,true,true,true,true,false,control_development_scaffold_pending
13.060,true,true,true,true,true,true,true,false,control_development_scaffold_pending
13.260,true,true,true,true,true,true,true,false,control_development_scaffold_pending
13.460,true,true,true,true,true,true,true,false,control_development_scaffold_pending
13.660,true,true,true,true,true,true,true,false,control_development_scaffold_pending
13.860,true,true,true,true,true,true,true,false,control_development_scaffold_pending
14.060,true,true,true,true,true,true,true,false,control_development_scaffold_pending
14.260,true,true,true,true,true,true,true,false,control_development_scaffold_pending
14.463,true,true,true,true,true,true,true,false,control_development_scaffold_pending
14.660,true,true,true,true,true,true,true,false,control_development_scaffold_pending
14.862,true,true,true,true,true,true,true,false,control_development_scaffold_pending
15.063,true,true,true,true,true,true,true,false,control_development_scaffold_pending
15.263,true,true,true,true,true,true,true,false,control_development_scaffold_pending
15.460,true,true,true,true,true,true,true,false,control_development_scaffold_pending
15.660,true,true,true,true,true,true,true,false,control_development_scaffold_pending
15.860,true,true,true,true,true,true,true,false,control_development_scaffold_pending
16.060,true,true,true,true,true,true,true,false,control_development_scaffold_pending
16.260,true,true,true,true,true,true,true,false,control_development_scaffold_pending
16.461,true,true,true,true,true,true,true,false,control_development_scaffold_pending
16.660,true,true,true,true,true,true,true,false,control_development_scaffold_pending
16.860,true,true,true,true,true,true,true,false,control_development_scaffold_pending
17.060,true,true,true,true,true,true,true,false,control_development_scaffold_pending
17.260,true,true,true,true,true,true,true,false,control_development_scaffold_pending
17.460,true,true,true,true,true,true,true,false,control_development_scaffold_pending
