phase,status,timestamp_sec,duration_sec,final_error_deg,max_force_n_so_far,max_torque_nm_so_far,safety_violation_count,note
initialize,succeeded,5.001338,0.000000,0.000000,0.000000,0.000000,0,batch sequence initialized
verify_simulation_endpoint,succeeded,13.057065,0.000000,0.000000,0.000000,0.000000,0,Gazebo endpoint verified
verify_moveit_ready,succeeded,13.057076,0.000000,0.000000,0.000000,0.000000,0,MoveIt planning and IK services available
compute_robot_tool_table_geometry,succeeded,13.057291,0.000000,0.000000,0.000000,0.000000,0,Tool and distal collision frame pose checked once for batch geometry
verify_contact_topic_wiring,succeeded,13.057296,0.000000,0.000000,0.000000,0.000000,0,Raw Gazebo contact message type and bridge wiring available
verify_safety_gate_ready,succeeded,13.057300,0.000000,0.000000,0.000000,0.000000,0,Safety gate clear
nominal_centered:start,succeeded,13.057321,0.000000,0.000000,0.000000,0.000000,0,Scenario started
nominal_centered:move_to_ready_pose,succeeded,14.274994,1.110665,0.537212,0.000000,0.000000,0,Motion phase executed through Gazebo controller
nominal_centered:move_to_no_contact_standby_pose,succeeded,15.630232,1.304208,0.667144,0.000000,0.000000,0,Motion phase executed through Gazebo controller
nominal_centered:compute_pad_pose,succeeded,17.289124,0.000000,0.000000,0.000000,0.000000,0,Scenario pad pose computed from batch geometry and offset
nominal_centered:spawn_or_reposition_pad,succeeded,17.289134,0.000000,0.000000,0.000000,0.000000,0,Scenario pad spawned or repositioned
nominal_centered:verify_initial_no_contact,succeeded,18.299615,0.000000,0.000000,0.000000,0.000000,0,Initial no-contact checked for scenario
execute_bounded_approach_to_contact_steps,succeeded,18.299619,0.000000,0.000000,0.000000,0.000000,0,Contact trigger step loop started
nominal_centered:stop_on_contact_gate,succeeded,21.822066,0.000000,0.000000,0.092160,0.000000,0,Contact gate checked for scenario
nominal_centered:retreat_to_no_contact_standby_pose,succeeded,24.601055,2.725830,0.637735,0.094692,0.000000,0,Motion phase executed through Gazebo controller
nominal_centered:verify_post_retreat_no_contact,succeeded,25.919175,0.000000,0.000000,0.094886,0.000000,0,Post-retreat no-contact checked for scenario
nominal_centered:return_to_ready_pose,succeeded,27.524795,1.554277,0.527241,0.094886,0.000000,0,Motion phase executed through Gazebo controller
nominal_centered:validate_final_state,succeeded,27.524828,0.000000,0.527241,0.094886,0.000000,0,Scenario final state checked
x_positive_offset:start,succeeded,27.524848,0.000000,0.000000,0.000000,0.000000,0,Scenario started
x_positive_offset:move_to_ready_pose,succeeded,29.032252,1.456404,0.667176,0.000000,0.000000,0,Motion phase executed through Gazebo controller
x_positive_offset:move_to_no_contact_standby_pose,succeeded,30.538080,1.454899,0.583667,0.000000,0.000000,0,Motion phase executed through Gazebo controller
x_positive_offset:compute_pad_pose,succeeded,31.846304,0.000000,0.000000,0.000000,0.000000,0,Scenario pad pose computed from batch geometry and offset
x_positive_offset:spawn_or_reposition_pad,succeeded,31.846319,0.000000,0.000000,0.000000,0.000000,0,Scenario pad spawned or repositioned
x_positive_offset:verify_initial_no_contact,succeeded,32.848524,0.000000,0.000000,0.000000,0.000000,0,Initial no-contact checked for scenario
