scenario,action_mode,step_index,force_n,torque_nm,contact_detection_force_threshold_n,contact_validation_min_force_n,raw_contact_topic_available,raw_contact_message_count,raw_contact_count,robot_pad_contact_count,raw_contact_pairs_sample,robot_contact_pairs_sample,max_contact_depth_m,desired_contact_force_upper_n,contact_gate_triggered,within_desired_contact_band,emergency_stop_triggered
nominal_centered,baseline_fixed_action,1,0.091673,0.000000,0.020000,0.020000,true,3841,4248,814,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,0.018391054,3.000000,true,true,false
nominal_centered,context_conditioned_action,1,0.089201,0.000000,0.020000,0.020000,true,414,828,828,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,0.017840160,3.000000,true,true,false
x_positive_offset,baseline_fixed_action,1,0.090666,0.000000,0.020000,0.020000,true,410,820,820,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,0.018178424,3.000000,true,true,false
x_positive_offset,context_conditioned_action,1,0.091525,0.000000,0.020000,0.020000,true,381,762,762,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,0.018304946,3.000000,true,true,false
x_negative_offset,baseline_fixed_action,1,0.093202,0.000000,0.020000,0.020000,true,409,818,818,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,0.018640348,3.000000,true,true,false
x_negative_offset,context_conditioned_action,1,0.092310,0.000000,0.020000,0.020000,true,381,762,762,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,0.018529824,3.000000,true,true,false
y_positive_offset,baseline_fixed_action,1,0.089198,0.000000,0.020000,0.020000,true,402,804,804,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,0.017996169,3.000000,true,true,false
y_positive_offset,context_conditioned_action,1,0.092541,0.000000,0.020000,0.020000,true,389,778,778,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,0.018508136,3.000000,true,true,false
y_negative_offset,baseline_fixed_action,1,0.089615,0.000000,0.020000,0.020000,true,394,788,788,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,0.018165782,3.000000,true,true,false
y_negative_offset,context_conditioned_action,1,0.090023,0.000000,0.020000,0.020000,true,390,780,780,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_4::link_4_collision|proposal_v2_15_context_action_ablation_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_15_context_action_ablation::link_5::link_5_collision,0.018100468,3.000000,true,true,false
