phase,joint,position_rad,delta_from_initial_deg
initial,joint_1,-0.000000000,0.000000000
initial,joint_2,-0.800000000,0.000000000
initial,joint_3,1.200000000,0.000000000
initial,joint_4,0.000000000,0.000000000
initial,joint_5,0.800000000,0.000000000
initial,joint_6,0.000000000,0.000000000
ready,joint_1,0.000451102,0.025846252
ready,joint_2,-0.800266569,-0.015273276
ready,joint_3,1.196298190,-0.212098083
ready,joint_4,0.008738454,0.500676549
ready,joint_5,0.799144512,-0.049015872
ready,joint_6,0.012016756,0.688509393
pre_approach,joint_1,-0.009135372,-0.523418272
pre_approach,joint_2,-0.798364156,0.093726951
pre_approach,joint_3,1.199311198,-0.039465439
pre_approach,joint_4,-0.000651847,-0.037348058
pre_approach,joint_5,0.823169993,1.327542808
pre_approach,joint_6,0.026344953,1.509454591
pre_insertion_standby,joint_1,0.009301439,0.532933181
pre_insertion_standby,joint_2,-0.808405686,-0.481610357
pre_insertion_standby,joint_3,1.193751228,-0.358028254
pre_insertion_standby,joint_4,-0.004915954,-0.281663432
pre_insertion_standby,joint_5,0.834806591,1.994270754
pre_insertion_standby,joint_6,0.053948402,3.091015761
hold,joint_1,0.009425788,0.540057892
hold,joint_2,-0.808473395,-0.485489785
hold,joint_3,1.193713727,-0.360176885
hold,joint_4,-0.004944652,-0.283307696
hold,joint_5,0.834884915,1.998758397
hold,joint_6,0.054134425,3.101674060
return,joint_1,-0.001384293,-0.079314126
return,joint_2,-0.795394531,0.263873936
return,joint_3,1.193738526,-0.358756007
return,joint_4,0.009750222,0.558646577
return,joint_5,0.808410294,0.481874324
return,joint_6,0.020099873,1.151637899
