stamp_s,max_abs_position_error_rad,rms_position_error_rad,joint_1_reference_rad,joint_1_feedback_rad,joint_1_error_rad,joint_2_reference_rad,joint_2_feedback_rad,joint_2_error_rad,joint_3_reference_rad,joint_3_feedback_rad,joint_3_error_rad,joint_4_reference_rad,joint_4_feedback_rad,joint_4_error_rad,joint_5_reference_rad,joint_5_feedback_rad,joint_5_error_rad,joint_6_reference_rad,joint_6_feedback_rad,joint_6_error_rad
2.575000000,0.012841031,0.006202697,-0.001375434,-0.001715508,0.000340073,-0.799528475,-0.796072068,-0.003456407,1.199842035,1.204612297,-0.004770262,-0.000914704,0.000367230,-0.001281934,0.800790519,0.795360285,0.005430234,-0.007721272,0.005119759,-0.012841031
2.580000000,0.005709369,0.003303502,-0.001375434,-0.000848267,-0.000527168,-0.799528475,-0.796021017,-0.003507459,1.199842035,1.203522635,-0.003680600,-0.000914704,-0.003513716,0.002599012,0.800790519,0.800794214,-0.000003695,-0.007721272,-0.002011903,-0.005709369
2.584000000,0.012398282,0.006284620,-0.001375434,-0.000317767,-0.001057668,-0.799528475,-0.796772056,-0.002756419,1.199842035,1.204763408,-0.004921373,-0.000914704,-0.002146936,0.001232232,0.800790519,0.793804353,0.006986165,-0.007721272,0.004677010,-0.012398282
2.588000000,0.016881136,0.007615161,-0.001375434,-0.000434812,-0.000940622,-0.799528475,-0.796704781,-0.002823694,1.199842035,1.203175515,-0.003333480,-0.000914704,0.005544192,-0.006458896,0.800790519,0.801923614,-0.001133095,-0.007721272,0.009159864,-0.016881136
2.592000000,0.013544794,0.006432512,-0.001375434,-0.000689995,-0.000685440,-0.799528475,-0.796422052,-0.003106424,1.199842035,1.203824046,-0.003982011,-0.000914704,0.002564959,-0.003479663,0.800790519,0.795621604,0.005168914,-0.007721272,0.005823522,-0.013544794
2.596000000,0.013961842,0.007226491,-0.001375434,-0.001281898,-0.000093536,-0.799528475,-0.795820225,-0.003708250,1.199842035,1.205324674,-0.005482639,-0.000914704,-0.003260868,0.002346164,0.800790519,0.786828677,0.013961842,-0.007721272,0.000589945,-0.008311217
2.600000000,0.010935226,0.006090591,-0.001375434,-0.002562588,0.001187154,-0.799528475,-0.794822685,-0.004705790,1.199842035,1.204252432,-0.004410397,-0.000914704,0.001668119,-0.002582823,0.800790519,0.793488720,0.007301798,-0.007721272,0.003213954,-0.010935226
2.604000000,0.022412263,0.009843743,-0.001375434,-0.003397870,0.002022436,-0.799528475,-0.794393324,-0.005135151,1.199842035,1.205274718,-0.005432683,-0.000914704,-0.002505362,0.001590658,0.800790519,0.796718434,0.004072085,-0.007721272,0.014690991,-0.022412263
2.608000000,0.012968239,0.007112433,-0.001375434,-0.003909705,0.002534270,-0.799528475,-0.794367304,-0.005161172,1.199842035,1.206881387,-0.007039352,-0.000914704,0.000310038,-0.001224742,0.800790519,0.793632840,0.007157679,-0.007721272,0.005246967,-0.012968239
2.612000000,0.008446606,0.005021518,-0.001375434,-0.004061052,0.002685618,-0.799528475,-0.794087599,-0.005440876,1.199842035,1.206381825,-0.006539790,-0.000914704,0.007531902,-0.008446606,0.800790519,0.801143143,-0.000352624,-0.007721272,-0.008211006,0.000489734
2.616000000,0.011940296,0.006814612,-0.001375434,-0.003451191,0.002075757,-0.799528475,-0.794118938,-0.005409537,1.199842035,1.207662251,-0.007820216,-0.000914704,0.002940478,-0.003855182,0.800790519,0.795645333,0.005145185,-0.007721272,0.004219023,-0.011940296
2.620000000,0.025277162,0.012379590,-0.001375434,-0.002376977,0.001001542,-0.799528475,-0.794215657,-0.005312819,1.199842035,1.208871802,-0.009029767,-0.000914704,-0.003989119,0.003074415,0.800790519,0.788126687,0.012663832,-0.007721272,0.017555890,-0.025277162
2.624000000,0.012703131,0.006821108,-0.001375434,-0.001240158,-0.000135276,-0.799528475,-0.794078219,-0.005450256,1.199842035,1.207411020,-0.007568985,-0.000914704,0.000898620,-0.001813324,0.800790519,0.795547020,0.005243499,-0.007721272,0.004981859,-0.012703131
2.629000000,0.009849386,0.006276954,-0.001375434,-0.000132211,-0.001243223,-0.799528475,-0.794342213,-0.005186262,1.199842035,1.207692800,-0.007850765,-0.000914704,-0.001125247,0.000210543,0.800790519,0.790941133,0.009849386,-0.007721272,-0.000702099,-0.007019173
2.632000000,0.009850782,0.005761842,-0.001375434,0.000237687,-0.001613122,-0.799528475,-0.794446936,-0.005081539,1.199842035,1.205932645,-0.006090610,-0.000914704,0.004335964,-0.005250668,0.800790519,0.797779571,0.003010948,-0.007721272,0.002129510,-0.009850782
2.637000000,0.022913254,0.010523077,-0.001375434,0.000345231,-0.001720665,-0.799528475,-0.794957701,-0.004570775,1.199842035,1.206064266,-0.006222231,-0.000914704,0.001507364,-0.002422068,0.800790519,0.792366835,0.008423684,-0.007721272,0.015191982,-0.022913254
2.640000000,0.015144854,0.006834628,-0.001375434,-0.000015579,-0.001359855,-0.799528475,-0.795302871,-0.004225604,1.199842035,1.204726348,-0.004884313,-0.000914704,-0.000519925,-0.000394778,0.800790519,0.798109293,0.002681226,-0.007721272,0.007423582,-0.015144854
2.644000000,0.005420065,0.004038711,-0.001375434,-0.000980842,-0.000394593,-0.799528475,-0.796013359,-0.003515117,1.199842035,1.204006182,-0.004164147,-0.000914704,0.004032305,-0.004947009,0.800790519,0.795370454,0.005420065,-0.007721272,-0.003957600,-0.003763672
2.648000000,0.013094907,0.006049687,-0.001375434,-0.002137347,0.000761913,-0.799528475,-0.797007949,-0.002520527,1.199842035,1.204266538,-0.004424503,-0.000914704,0.001287740,-0.002202444,0.800790519,0.796697216,0.004093303,-0.007721272,0.005373635,-0.013094907
2.652000000,0.011082547,0.007023377,-0.001375434,-0.002954667,0.001579233,-0.799528475,-0.798036466,-0.001492009,1.199842035,1.206448980,-0.006606945,-0.000914704,-0.005969906,0.005055203,0.800790519,0.789707971,0.011082547,-0.007721272,0.002239513,-0.009960785
2.656000000,0.013303453,0.006078579,-0.001375434,-0.003518292,0.002142858,-0.799528475,-0.797797341,-0.001731134,1.199842035,1.204865759,-0.005023724,-0.000914704,-0.002944696,0.002029992,0.800790519,0.798003848,0.002786670,-0.007721272,0.005582181,-0.013303453
