receipt_stamp_s,joint_names,point_count,final_time_from_start_s,final_positions_rad
2.598000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,20,40.000000000,-0.502569330 -0.992067746 2.340681722 -0.112780859 -1.349980297 0.024802178
43.320000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,8,15.000000000,-0.503407833 -0.894944025 2.310486387 -0.115293812 -1.331252595 0.028845880
61.101000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.503814649 -0.856959715 2.326639195 -0.114956811 -1.470342381 0.011579081
67.204000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.502726384 -0.856484674 2.326679235 -0.111159895 -1.470841588 0.011164141
73.303000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.502615841 -0.857730183 2.326880412 -0.110761859 -1.469764807 0.011218015
79.405000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.503868155 -0.851506512 2.325770495 -0.115085848 -1.474907801 0.011080120
85.503000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.503442856 -0.850429038 2.325628505 -0.113601344 -1.475811230 0.010821750
91.702000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.503123226 -0.850577803 2.325682446 -0.112479097 -1.475699964 0.010723388
97.903000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.504091043 -0.847203193 2.325042140 -0.115831160 -1.478458361 0.010726065
100.122000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,17,25.000000000,0.000000000 -0.800000000 1.200000000 0.000000000 0.800000000 0.000000000
