receipt_stamp_s,joint_names,point_count,final_time_from_start_s,final_positions_rad
2.664000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,20,40.000000000,-0.502569330 -0.992067746 2.340681722 -0.112780859 -1.349980297 0.024802178
47.223000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,8,15.000000000,-0.501778799 -0.895022278 2.310622669 -0.111175287 -1.331115055 0.025484081
64.705000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.503044931 -0.869354848 2.328601145 -0.112382209 -1.459944172 0.012484359
70.807000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.503218171 -0.859165274 2.327038542 -0.112885245 -1.468523778 0.011573631
76.904000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.499001740 -0.855991042 2.329104370 -0.113011453 -1.473731528 0.010997475
83.002000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.498972963 -0.854719646 2.324537076 -0.114319600 -1.470468865 0.011497889
89.101000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.502060952 -0.855289398 2.321258773 -0.117056929 -1.466681555 0.012220611
95.204000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.505144719 -0.846249790 2.319515219 -0.114861352 -1.473904063 0.011160425
101.303000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.504881163 -0.849423524 2.325328226 -0.118608108 -1.476562923 0.011209550
103.621000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,17,25.000000000,0.000000000 -0.800000000 1.200000000 0.000000000 0.800000000 0.000000000
