receipt_stamp_s,joint_names,point_count,final_time_from_start_s,final_positions_rad
2.806000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,20,40.000000000,-0.502569330 -0.992067746 2.340681722 -0.112780859 -1.349980297 0.024802178
23.921000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,8,15.000000000,-0.501452805 -0.894027258 2.311342973 -0.112128332 -1.335895430 0.022073576
35.901000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.499780183 -0.856930321 2.329173591 -0.115747518 -1.472898635 0.011363787
42.002000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.504672132 -0.853036537 2.325952995 -0.117895865 -1.473639795 0.011467806
48.203000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.503813133 -0.844437745 2.324615809 -0.114833665 -1.480770317 0.010368814
54.305000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.503873944 -0.845814520 2.324829962 -0.115058346 -1.479623047 0.010518636
60.403000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.504641755 -0.849228619 2.325326582 -0.117786818 -1.476767946 0.011130898
66.501000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.505765268 -0.851390485 2.325558946 -0.121747501 -1.474879143 0.011721673
72.601000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.505136724 -0.846115540 2.324755903 -0.119485658 -1.479295756 0.010974608
74.911000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,17,25.000000000,0.000000000 -0.800000000 1.200000000 0.000000000 0.800000000 0.000000000
