stamp_s,max_abs_position_error_rad,rms_position_error_rad,joint_1_reference_rad,joint_1_feedback_rad,joint_1_error_rad,joint_2_reference_rad,joint_2_feedback_rad,joint_2_error_rad,joint_3_reference_rad,joint_3_feedback_rad,joint_3_error_rad,joint_4_reference_rad,joint_4_feedback_rad,joint_4_error_rad,joint_5_reference_rad,joint_5_feedback_rad,joint_5_error_rad,joint_6_reference_rad,joint_6_feedback_rad,joint_6_error_rad
2.540000000,0.005299199,0.003716288,-0.003630859,0.001426689,-0.005057548,-0.798224130,-0.797476209,-0.000747922,1.201601245,1.201106859,0.000494385,-0.001761580,0.003512380,-0.005273959,0.797205095,0.797970632,-0.000765537,0.001055799,-0.004243400,0.005299199
2.544000000,0.010052691,0.005457197,-0.003630859,0.001122414,-0.004753274,-0.798224130,-0.797733392,-0.000490738,1.201601245,1.204016485,-0.002415240,-0.001761580,-0.003156748,0.001395169,0.797205095,0.787152404,0.010052691,0.001055799,0.007912550,-0.006856752
2.548000000,0.006489993,0.003986045,-0.003630859,0.000046964,-0.003677823,-0.798224130,-0.797765026,-0.000459104,1.201601245,1.204044566,-0.002443322,-0.001761580,0.003426331,-0.005187911,0.797205095,0.794638010,0.002567085,0.001055799,-0.005434194,0.006489993
2.552000000,0.004722276,0.003030584,-0.003630859,-0.001207006,-0.002423853,-0.798224130,-0.797776670,-0.000447461,1.201601245,1.203974933,-0.002373688,-0.001761580,0.002324785,-0.004086365,0.797205095,0.801927371,-0.004722276,0.001055799,0.003153103,-0.002097304
2.556000000,0.003496149,0.001814640,-0.003630859,-0.002737956,-0.000892903,-0.798224130,-0.798114745,-0.000109385,1.201601245,1.205097394,-0.003496149,-0.001761580,-0.001620497,-0.000141083,0.797205095,0.797675892,-0.000470797,0.001055799,-0.001490504,0.002546303
2.560000000,0.008693796,0.005338783,-0.003630859,-0.004569971,0.000939112,-0.798224130,-0.798523940,0.000299810,1.201601245,1.206131346,-0.004530101,-0.001761580,-0.007078931,0.005317351,0.797205095,0.790447456,0.006757639,0.001055799,0.009749595,-0.008693796
2.568000000,0.003779126,0.002272363,-0.003630859,-0.006405709,0.002774849,-0.798224130,-0.797991102,-0.000233029,1.201601245,1.203540359,-0.001939115,-0.001761580,-0.002007557,0.000245977,0.797205095,0.799468996,-0.002263901,0.001055799,-0.002723328,0.003779126
2.569000000,0.004001925,0.002624426,-0.003630859,-0.007632784,0.004001925,-0.798224130,-0.797616421,-0.000607710,1.201601245,1.202280737,-0.000679492,-0.001761580,0.001640058,-0.003401638,0.797205095,0.795654452,0.001550643,0.001055799,0.004296728,-0.003240930
2.572000000,0.004545302,0.002928019,-0.003630859,-0.008176162,0.004545302,-0.798224130,-0.797224239,-0.000999891,1.201601245,1.200491348,0.001109897,-0.001761580,0.000025843,-0.001787423,0.797205095,0.800812936,-0.003607841,0.001055799,-0.002456600,0.003512398
2.577000000,0.009286135,0.005609603,-0.003630859,-0.008049020,0.004418160,-0.798224130,-0.797683025,-0.000541106,1.201601245,1.202161134,-0.000559889,-0.001761580,-0.008870664,0.007109084,0.797205095,0.791556373,0.005648722,0.001055799,0.010341933,-0.009286135
2.580000000,0.004197764,0.002524412,-0.003630859,-0.007828624,0.004197764,-0.798224130,-0.798005033,-0.000219097,1.201601245,1.201450912,0.000150332,-0.001761580,-0.004359154,0.002597574,0.797205095,0.798647275,-0.001442180,0.001055799,-0.002367187,0.003422986
2.584000000,0.005778284,0.003400169,-0.003630859,-0.007142649,0.003511790,-0.798224130,-0.799033085,0.000808955,1.201601245,1.203434927,-0.001833682,-0.001761580,-0.001921274,0.000159694,0.797205095,0.791426811,0.005778284,0.001055799,0.005483367,-0.004427568
2.588000000,0.007682095,0.004610848,-0.003630859,-0.006174693,0.002543833,-0.798224130,-0.799130785,0.000906655,1.201601245,1.202401842,-0.000800597,-0.001761580,0.005440921,-0.007202500,0.797205095,0.800160569,-0.002955474,0.001055799,-0.006626297,0.007682095
2.592000000,0.004839094,0.002289716,-0.003630859,-0.004503425,0.000872566,-0.798224130,-0.798513359,0.000289229,1.201601245,1.201883597,-0.000282352,-0.001761580,0.000792087,-0.002553666,0.797205095,0.796434375,0.000770720,0.001055799,0.005894892,-0.004839094
