run_id,success,safe_success,safety_violation_count,cycle_time_sec,phase_count,max_force_n,max_torque_nm,x_offset_mm,y_offset_mm,angular_error_deg,hole_tolerance_mm
v2_4_batch_001,False,False,0,0.14,7,6.8592,0.1029,1.6987,2.7184,-3.8089,2.9966
v2_4_batch_002,False,False,0,0.14,7,6.798,0.102,-2.4472,1.3671,-4.8986,2.5155
v2_4_batch_003,False,False,0,0.14,7,6.5092,0.0976,-2.7896,1.6525,2.6934,2.5319
v2_4_batch_004,False,False,0,0.14,7,7.3091,0.1096,-0.469,2.9262,5.8549,1.2312
v2_4_batch_005,False,False,0,0.14,7,7.039,0.1056,0.1352,3.6653,2.8698,1.8884
v2_4_batch_006,False,False,0,0.14,7,8.0842,0.1213,-1.5632,3.6242,-4.9786,2.5211
v2_4_batch_007,False,False,0,0.14,7,6.993,0.1049,2.746,-2.7384,-2.0776,1.6107
v2_4_batch_008,False,False,0,0.14,7,4.8811,0.0732,0.3367,-1.064,4.7243,2.8493
v2_4_batch_009,False,False,0,0.14,7,7.6399,0.1146,-1.4707,3.1582,-5.1647,1.1938
v2_4_batch_010,False,False,0,0.14,7,6.3468,0.0952,1.321,2.3926,3.8298,2.984
v2_4_batch_011,False,False,0,0.14,7,6.7941,0.1019,2.8778,-1.8687,2.9134,2.8493
v2_4_batch_012,False,False,0,0.14,7,7.0287,0.1054,-3.2512,-0.0446,-4.1487,1.2862
v2_4_batch_013,False,False,0,0.14,7,5.4998,0.0825,-0.1636,1.363,5.6851,1.2627
v2_4_batch_014,False,False,0,0.14,7,7.4901,0.1124,0.0436,3.9789,3.1801,2.0642
v2_4_batch_015,False,False,0,0.14,7,5.5453,0.0832,-2.0591,1.0477,-2.8685,2.2878
v2_4_batch_016,False,False,0,0.14,7,4.8591,0.0729,1.1895,-0.8699,3.5373,1.8071
v2_4_batch_017,False,False,0,0.14,7,5.9789,0.0897,-0.2489,2.653,-2.9937,1.371
v2_4_batch_018,False,False,0,0.14,7,4.4431,0.0666,0.5949,-0.5234,4.49,1.4979
v2_4_batch_019,False,False,0,0.14,7,6.2594,0.0939,-1.0294,-3.5379,-0.5895,1.6251
v2_4_batch_020,False,False,0,0.14,7,6.3092,0.0946,-0.4102,2.112,-5.5503,2.9785
