elapsed_sec,phase
336.501314247,sequence_start
336.550552646,safe_home
394.963630234,sequence_start
394.964101434,sequence_start
394.966048334,safe_home
395.434297833,safe_home
395.933314332,safe_home
396.429934732,safe_home
396.929538331,safe_home
397.429206830,safe_home
397.931739929,safe_home
398.434311428,safe_home
398.928988127,safe_home
399.429696626,safe_home
399.934913526,safe_home
400.429085525,safe_home
400.929057524,safe_home
401.433844823,safe_home
401.931636821,safe_home
402.442780510,safe_home
402.929639700,safe_home
403.430127190,safe_home
403.928943880,safe_home
404.434013570,safe_home
404.929073659,safe_home
405.429924349,safe_home
405.928865139,safe_home
406.429501529,safe_home
406.931050718,safe_home
407.436078308,safe_home
407.930048098,safe_home
408.428971788,safe_home
408.928980178,safe_home
409.429129367,safe_home
409.928891158,safe_home
410.429670154,safe_home
410.936514450,safe_home
411.429314346,safe_home
411.932660142,safe_home
412.432742638,safe_home
412.928990134,safe_home
413.429556930,safe_home
413.930489826,safe_home
414.428977322,safe_home
414.929007618,safe_home
415.429359214,safe_home
415.932399010,safe_home
416.433318006,safe_home
416.930104702,safe_home
417.429348898,safe_home
417.929125293,safe_home
418.429319479,safe_home
418.934353566,safe_home
419.430542552,safe_home
419.929353438,safe_home
420.429225724,safe_home
420.929392011,safe_home
421.430350797,safe_home
421.929901283,safe_home
422.429178169,safe_home
422.932558255,safe_home
423.429343342,safe_home
423.929406728,safe_home
424.429009214,safe_home
424.929315000,safe_home
425.430502887,safe_home
425.939514373,safe_home
426.429172072,safe_home
426.930656471,safe_home
427.431133269,safe_home
427.929126668,safe_home
428.431092866,safe_home
428.929320365,safe_home
429.430774664,safe_home
429.929025062,safe_home
430.429805261,safe_home
430.929063960,safe_home
431.430576958,safe_home
431.929338257,safe_home
432.432331056,safe_home
432.929061054,safe_home
433.429272853,safe_home
433.929000652,safe_home
434.429551660,safe_home
434.929392869,safe_home
435.429756377,safe_home
435.928968686,safe_home
436.428854095,safe_home
436.929044403,safe_home
437.429952212,safe_home
437.931576120,safe_home
438.431613929,safe_home
438.928899938,safe_home
439.432620546,safe_home
439.928975855,safe_home
440.429435863,safe_home
440.928835572,safe_home
441.429644781,safe_home
441.929923789,safe_home
442.429492146,safe_home
442.935925600,safe_home
443.429345156,safe_home
443.930332210,safe_home
444.430817965,safe_home
444.929012720,safe_home
445.429194275,safe_home
445.929146630,safe_home
446.429236585,safe_home
446.932746339,safe_home
447.430468994,safe_home
447.929090049,safe_home
448.429239304,safe_home
448.929158659,safe_home
449.429109814,safe_home
449.929697869,safe_home
450.436206762,safe_home
450.928946958,safe_home
451.428912155,safe_home
451.931494351,safe_home
452.434010448,safe_home
452.929491744,safe_home
453.429867741,safe_home
453.929976937,safe_home
454.434444433,safe_home
454.929930230,safe_home
455.431473926,safe_home
455.929448023,safe_home
456.429665419,safe_home
456.930704315,safe_home
457.432674612,safe_home
457.936384008,safe_home
458.438161006,safe_home
458.931816203,safe_home
459.429434501,safe_home
459.933246498,safe_home
460.432004196,safe_home
460.929358294,safe_home
461.429972891,safe_home
461.928920189,safe_home
462.429776186,safe_home
462.930410284,safe_home
463.428897582,safe_home
463.930769179,safe_home
464.429847877,safe_home
464.929776474,safe_home
465.429072672,safe_home
465.929399069,safe_home
466.429765466,safe_home
466.929516062,safe_home
467.429629158,safe_home
467.928950255,safe_home
468.430980051,safe_home
468.929658247,safe_home
469.431070643,safe_home
469.929797740,safe_home
470.429514436,safe_home
470.929276232,safe_home
471.433273828,safe_home
471.932295525,safe_home
472.429405521,safe_home
472.929537417,safe_home
473.429424013,safe_home
